CMDLINE python main.py --cuda_num=0 --dropout=0.8 --dim_hidden=14 --num_layers=2 --batch_size=25 --use_batch_norm=True --SLE_threshold=0.9 --N_exp=1 --dataset=HeterophilousGraphDataset --epochs=3 --homophily=0.9 --multi_label=True --type_model=GCN --eval_steps=50 --lr=1e-1 --weight_decay=1e-5
MEM 0.007812 1715107681.8435
MEM 46.867188 1715107681.9438
MEM 171.894531 1715107682.0441
MEM 206.914062 1715107682.1444
MEM 226.468750 1715107682.2448
MEM 298.769531 1715107682.3451
MEM 316.507812 1715107682.4454
MEM 324.902344 1715107682.5457
MEM 337.695312 1715107682.6460
MEM 349.894531 1715107682.7463
MEM 360.980469 1715107682.8466
MEM 369.488281 1715107682.9469
MEM 377.769531 1715107683.0472
MEM 384.281250 1715107683.1474
MEM 397.789062 1715107683.2477
MEM 415.453125 1715107683.3480
MEM 424.000000 1715107683.4483
MEM 434.003906 1715107683.5486
MEM 446.691406 1715107683.6489
MEM 457.609375 1715107683.7492
MEM 459.929688 1715107683.8495
MEM 465.207031 1715107683.9499
MEM 470.730469 1715107684.0503
MEM 481.046875 1715107684.1508
MEM 486.039062 1715107684.2511
MEM 490.953125 1715107684.3515
MEM 493.378906 1715107684.4519
MEM 493.378906 1715107684.5526
MEM 493.378906 1715107684.6533
MEM 493.378906 1715107684.7540
MEM 493.378906 1715107684.8547
MEM 493.378906 1715107684.9554
MEM 511.253906 1715107685.0558
MEM 513.890625 1715107685.1561
MEM 513.890625 1715107685.2563
MEM 583.296875 1715107685.3567
MEM 675.839844 1715107685.4570
MEM 774.703125 1715107685.5574
MEM 864.152344 1715107685.6577
MEM 967.855469 1715107685.7581
MEM 1059.789062 1715107685.8584
MEM 1186.972656 1715107685.9587
MEM 1240.371094 1715107686.0591
MEM 1305.667969 1715107686.1594
MEM 1417.378906 1715107686.2597
MEM 1491.644531 1715107686.3601
MEM 1583.230469 1715107686.4604
MEM 1662.273438 1715107686.5607
MEM 1685.683594 1715107686.6611
MEM 1704.769531 1715107686.7617
MEM 1728.425781 1715107686.8621
MEM 1754.445312 1715107686.9629
MEM 1781.683594 1715107687.0632
MEM 1794.042969 1715107687.1639
MEM 1808.980469 1715107687.2645
MEM 1824.566406 1715107687.3650
MEM 1841.144531 1715107687.4657
MEM 1859.664062 1715107687.5664
MEM 1880.339844 1715107687.6668
MEM 1895.523438 1715107687.7673
MEM 1916.296875 1715107687.8677
